client_id,name,age,city,account_balance
1,Cliente_1,56,Barcelona,1163
2,Cliente_2,69,Sevilla,35266
3,Cliente_3,46,Sevilla,8494
4,Cliente_4,32,Madrid,28521
5,Cliente_5,60,Bilbao,30803
6,Cliente_6,25,Bilbao,3804
7,Cliente_7,78,Barcelona,47076
8,Cliente_8,38,Bilbao,39853
9,Cliente_9,56,Barcelona,18175
10,Cliente_10,75,Madrid,44917
11,Cliente_11,36,Sevilla,24438
12,Cliente_12,40,Sevilla,24164
13,Cliente_13,28,Sevilla,2136
14,Cliente_14,28,Bilbao,20580
15,Cliente_15,41,Madrid,28228
16,Cliente_16,70,Bilbao,27236
17,Cliente_17,53,Bilbao,29173
18,Cliente_18,57,Madrid,38005
19,Cliente_19,41,Madrid,47823
20,Cliente_20,20,Madrid,47145
21,Cliente_21,39,Madrid,1354
22,Cliente_22,70,Sevilla,25048
23,Cliente_23,19,Valencia,39123
24,Cliente_24,41,Valencia,7892
25,Cliente_25,61,Madrid,47217
26,Cliente_26,47,Valencia,22056
27,Cliente_27,55,Valencia,39059
28,Cliente_28,19,Madrid,26809
29,Cliente_29,77,Valencia,22419
30,Cliente_30,38,Bilbao,5431
31,Cliente_31,50,Barcelona,33470
32,Cliente_32,29,Barcelona,44715
33,Cliente_33,75,Madrid,13188
34,Cliente_34,39,Sevilla,25842
35,Cliente_35,78,Madrid,37657
36,Cliente_36,61,Sevilla,2827
37,Cliente_37,42,Barcelona,41272
38,Cliente_38,66,Madrid,41045
39,Cliente_39,44,Bilbao,697
40,Cliente_40,76,Valencia,24009
41,Cliente_41,59,Sevilla,35198
42,Cliente_42,45,Valencia,45042
43,Cliente_43,77,Valencia,15587
44,Cliente_44,33,Madrid,23171
45,Cliente_45,32,Valencia,25684
46,Cliente_46,79,Bilbao,28348
47,Cliente_47,79,Valencia,42607
48,Cliente_48,64,Madrid,21166
49,Cliente_49,79,Bilbao,44857
50,Cliente_50,68,Barcelona,16208
51,Cliente_51,61,Valencia,26870
52,Cliente_52,72,Madrid,3311
53,Cliente_53,69,Barcelona,47511
54,Cliente_54,74,Barcelona,7046
55,Cliente_55,20,Sevilla,35254
56,Cliente_56,54,Bilbao,30706
57,Cliente_57,68,Valencia,41606
58,Cliente_58,24,Madrid,11911
59,Cliente_59,38,Sevilla,3411
60,Cliente_60,26,Bilbao,2234
61,Cliente_61,56,Sevilla,18727
62,Cliente_62,35,Bilbao,9180
63,Cliente_63,21,Bilbao,19860
64,Cliente_64,42,Valencia,18843
65,Cliente_65,77,Bilbao,6259
66,Cliente_66,31,Sevilla,23578
67,Cliente_67,67,Bilbao,35653
68,Cliente_68,75,Valencia,11611
69,Cliente_69,26,Valencia,38004
70,Cliente_70,43,Sevilla,2302
71,Cliente_71,70,Barcelona,8655
72,Cliente_72,19,Barcelona,8620
73,Cliente_73,37,Bilbao,39884
74,Cliente_74,45,Madrid,47525
75,Cliente_75,64,Bilbao,47754
76,Cliente_76,77,Sevilla,22418
77,Cliente_77,24,Sevilla,20945
78,Cliente_78,61,Sevilla,30806
79,Cliente_79,78,Sevilla,17146
80,Cliente_80,25,Sevilla,47343
81,Cliente_81,64,Valencia,31565
82,Cliente_82,52,Barcelona,25699
83,Cliente_83,31,Sevilla,42476
84,Cliente_84,34,Madrid,16871
85,Cliente_85,53,Madrid,12335
86,Cliente_86,67,Madrid,46436
87,Cliente_87,57,Madrid,2549
88,Cliente_88,21,Valencia,32116
89,Cliente_89,19,Madrid,38691
90,Cliente_90,79,Sevilla,47857
91,Cliente_91,23,Bilbao,21432
92,Cliente_92,71,Madrid,30355
93,Cliente_93,59,Valencia,7658
94,Cliente_94,21,Valencia,43516
95,Cliente_95,71,Madrid,7900
96,Cliente_96,46,Bilbao,43142
97,Cliente_97,35,Madrid,15651
98,Cliente_98,43,Valencia,1654
99,Cliente_99,61,Barcelona,4999
100,Cliente_100,51,Sevilla,6795
