account_id,client_id,account_type,opened_date
1,54,Savings,2015-01-31
2,33,Savings,2015-02-28
3,24,Checking,2015-03-31
4,75,Savings,2015-04-30
5,72,Checking,2015-05-31
6,36,Checking,2015-06-30
7,38,Checking,2015-07-31
8,84,Savings,2015-08-31
9,99,Savings,2015-09-30
10,89,Checking,2015-10-31
11,99,Checking,2015-11-30
12,25,Savings,2015-12-31
13,93,Checking,2016-01-31
14,18,Checking,2016-02-29
15,82,Checking,2016-03-31
16,66,Savings,2016-04-30
17,54,Savings,2016-05-31
18,35,Savings,2016-06-30
19,80,Checking,2016-07-31
20,61,Checking,2016-08-31
21,41,Checking,2016-09-30
22,100,Savings,2016-10-31
23,33,Checking,2016-11-30
24,68,Checking,2016-12-31
25,33,Checking,2017-01-31
26,14,Checking,2017-02-28
27,21,Savings,2017-03-31
28,48,Savings,2017-04-30
29,20,Checking,2017-05-31
30,8,Savings,2017-06-30
31,7,Savings,2017-07-31
32,67,Checking,2017-08-31
33,17,Checking,2017-09-30
34,33,Savings,2017-10-31
35,48,Checking,2017-11-30
36,76,Savings,2017-12-31
37,59,Checking,2018-01-31
38,86,Savings,2018-02-28
39,22,Checking,2018-03-31
40,30,Savings,2018-04-30
41,38,Savings,2018-05-31
42,51,Savings,2018-06-30
43,54,Checking,2018-07-31
44,8,Savings,2018-08-31
45,27,Savings,2018-09-30
46,27,Checking,2018-10-31
47,98,Checking,2018-11-30
48,21,Savings,2018-12-31
49,30,Savings,2019-01-31
50,97,Checking,2019-02-28
51,28,Checking,2019-03-31
52,64,Checking,2019-04-30
53,97,Checking,2019-05-31
54,69,Checking,2019-06-30
55,61,Savings,2019-07-31
56,48,Checking,2019-08-31
57,19,Savings,2019-09-30
58,4,Savings,2019-10-31
59,35,Savings,2019-11-30
60,64,Checking,2019-12-31
61,49,Savings,2020-01-31
62,17,Savings,2020-02-29
63,44,Checking,2020-03-31
64,92,Savings,2020-04-30
65,30,Savings,2020-05-31
66,93,Checking,2020-06-30
67,46,Savings,2020-07-31
68,6,Savings,2020-08-31
69,99,Savings,2020-09-30
70,37,Checking,2020-10-31
71,24,Checking,2020-11-30
72,93,Checking,2020-12-31
73,46,Savings,2021-01-31
74,53,Savings,2021-02-28
75,95,Checking,2021-03-31
76,99,Savings,2021-04-30
77,60,Savings,2021-05-31
78,97,Checking,2021-06-30
79,63,Checking,2021-07-31
80,85,Savings,2021-08-31
81,32,Savings,2021-09-30
82,87,Savings,2021-10-31
83,33,Checking,2021-11-30
84,67,Checking,2021-12-31
85,18,Checking,2022-01-31
86,25,Checking,2022-02-28
87,95,Savings,2022-03-31
88,54,Checking,2022-04-30
89,58,Checking,2022-05-31
90,67,Checking,2022-06-30
91,46,Checking,2022-07-31
92,24,Checking,2022-08-31
93,32,Savings,2022-09-30
94,47,Savings,2022-10-31
95,86,Checking,2022-11-30
96,23,Savings,2022-12-31
97,66,Checking,2023-01-31
98,27,Checking,2023-02-28
99,2,Savings,2023-03-31
100,90,Savings,2023-04-30
101,17,Checking,2023-05-31
102,33,Checking,2023-06-30
103,9,Checking,2023-07-31
104,43,Savings,2023-08-31
105,48,Checking,2023-09-30
106,39,Checking,2023-10-31
107,93,Checking,2023-11-30
108,42,Savings,2023-12-31
109,26,Checking,2024-01-31
110,99,Checking,2024-02-29
111,50,Savings,2024-03-31
112,25,Checking,2024-04-30
113,24,Checking,2024-05-31
114,13,Savings,2024-06-30
115,60,Checking,2024-07-31
116,7,Savings,2024-08-31
117,57,Savings,2024-09-30
118,36,Checking,2024-10-31
119,45,Checking,2024-11-30
120,20,Checking,2024-12-31
121,65,Checking,2025-01-31
122,8,Savings,2025-02-28
123,16,Checking,2025-03-31
124,14,Savings,2025-04-30
125,76,Checking,2025-05-31
126,87,Checking,2025-06-30
127,15,Checking,2025-07-31
128,92,Savings,2025-08-31
129,98,Checking,2025-09-30
130,66,Checking,2025-10-31
131,32,Checking,2025-11-30
132,87,Checking,2025-12-31
133,63,Savings,2026-01-31
134,86,Checking,2026-02-28
135,51,Savings,2026-03-31
136,25,Savings,2026-04-30
137,58,Savings,2026-05-31
138,63,Savings,2026-06-30
139,62,Savings,2026-07-31
140,22,Savings,2026-08-31
141,58,Checking,2026-09-30
142,58,Savings,2026-10-31
143,86,Savings,2026-11-30
144,49,Savings,2026-12-31
145,52,Checking,2027-01-31
146,42,Checking,2027-02-28
147,70,Savings,2027-03-31
148,15,Checking,2027-04-30
149,54,Savings,2027-05-31
150,60,Savings,2027-06-30
