transaction_id,account_id,transaction_date,amount,transaction_type
1,12,2023-01-01,3154.2012216687417,Transfer
2,95,2023-01-02,2216.5383206418287,Transfer
3,46,2023-01-03,-718.4417396889176,Deposit
4,130,2023-01-04,8746.047382631521,Withdrawal
5,35,2023-01-05,-4582.929021269235,Transfer
6,81,2023-01-06,-4856.71504865486,Withdrawal
7,90,2023-01-07,5710.832525819144,Deposit
8,8,2023-01-08,5300.481920715349,Transfer
9,93,2023-01-09,2768.8138949593394,Withdrawal
10,90,2023-01-10,-439.7611095140319,Deposit
11,115,2023-01-11,3512.11064595206,Withdrawal
12,105,2023-01-12,9604.15148559767,Transfer
13,135,2023-01-13,13577.731039371125,Transfer
14,58,2023-01-14,-7282.068527375783,Deposit
15,114,2023-01-15,-1094.6005962427325,Deposit
16,75,2023-01-16,-1408.866314924198,Deposit
17,120,2023-01-17,9132.59735849841,Withdrawal
18,21,2023-01-18,-11406.474932826008,Withdrawal
19,138,2023-01-19,3569.1759653277304,Withdrawal
20,101,2023-01-20,-284.05154209516786,Deposit
21,99,2023-01-21,9190.563747738202,Transfer
22,36,2023-01-22,8505.194200022303,Transfer
23,96,2023-01-23,2827.5336741334636,Withdrawal
24,37,2023-01-24,-6898.615353558985,Withdrawal
25,12,2023-01-25,-1869.4474116756655,Transfer
26,113,2023-01-26,-1321.9553830686923,Transfer
27,13,2023-01-27,-5632.273972267324,Withdrawal
28,23,2023-01-28,6772.92140929685,Withdrawal
29,99,2023-01-29,-6267.13248637203,Transfer
30,105,2023-01-30,10826.637542268561,Deposit
31,30,2023-01-31,10814.113170227292,Withdrawal
32,17,2023-02-01,-925.3013092975314,Transfer
33,113,2023-02-02,2642.47685064908,Transfer
34,62,2023-02-03,638.5826096478795,Transfer
35,84,2023-02-04,5509.124001808452,Transfer
36,112,2023-02-05,7373.386692823796,Deposit
37,86,2023-02-06,2289.984960600331,Transfer
38,141,2023-02-07,3345.583548905314,Withdrawal
39,19,2023-02-08,-42060.42639395163,Deposit
40,100,2023-02-09,3183.5698344516923,Transfer
41,140,2023-02-10,1813.8103946199044,Deposit
42,147,2023-02-11,-3558.972443756784,Withdrawal
43,76,2023-02-12,929.8144532844439,Transfer
44,9,2023-02-13,-915.9125899303656,Withdrawal
45,28,2023-02-14,-2047.477909090293,Transfer
46,128,2023-02-15,-4732.456037997839,Transfer
47,52,2023-02-16,1312.5136662473797,Transfer
48,83,2023-02-17,-2902.3700316267177,Transfer
49,111,2023-02-18,-1355.5408615134966,Transfer
50,144,2023-02-19,6375.621376086445,Deposit
51,117,2023-02-20,4160.58050634189,Transfer
52,69,2023-02-21,-3893.8332393062674,Transfer
53,99,2023-02-22,2759.4553395321805,Deposit
54,140,2023-02-23,1663.903491320776,Deposit
