,Chick,Time
0,1,0
1,1,2
2,1,4
3,1,6
4,1,8
5,1,10
6,1,12
7,1,14
8,1,16
9,1,18
10,1,20
11,1,21
12,2,0
13,2,2
14,2,4
15,2,6
16,2,8
17,2,10
18,2,12
19,2,14
20,2,16
21,2,18
22,2,20
23,2,21
24,3,0
25,3,2
26,3,4
27,3,6
28,3,8
29,3,10
30,3,12
31,3,14
32,3,16
33,3,18
34,3,20
35,3,21
36,4,0
37,4,2
38,4,4
39,4,6
40,4,8
41,4,10
42,4,12
43,4,14
44,4,16
45,4,18
46,4,20
47,4,21
48,5,0
49,5,2
50,5,4
51,5,6
52,5,8
53,5,10
54,5,12
55,5,14
56,5,16
57,5,18
58,5,20
59,5,21
60,6,0
61,6,2
62,6,4
63,6,6
64,6,8
65,6,10
66,6,12
67,6,14
68,6,16
69,6,18
70,6,20
71,6,21
72,7,0
73,7,2
74,7,4
75,7,6
76,7,8
77,7,10
78,7,12
79,7,14
80,7,16
81,7,18
82,7,20
83,7,21
84,8,0
85,8,2
86,8,4
87,8,6
88,8,8
89,8,10
90,8,12
91,8,14
92,8,16
93,8,18
94,8,20
95,9,0
96,9,2
97,9,4
98,9,6
99,9,8
100,9,10
101,9,12
102,9,14
103,9,16
104,9,18
105,9,20
106,9,21
107,10,0
108,10,2
109,10,4
110,10,6
111,10,8
112,10,10
113,10,12
114,10,14
115,10,16
116,10,18
117,10,20
118,10,21
119,11,0
120,11,2
121,11,4
122,11,6
123,11,8
124,11,10
125,11,12
126,11,14
127,11,16
128,11,18
129,11,20
130,11,21
131,12,0
132,12,2
133,12,4
134,12,6
135,12,8
136,12,10
137,12,12
138,12,14
139,12,16
140,12,18
141,12,20
142,12,21
143,13,0
144,13,2
145,13,4
146,13,6
147,13,8
148,13,10
149,13,12
150,13,14
151,13,16
152,13,18
153,13,20
154,13,21
155,14,0
156,14,2
157,14,4
158,14,6
159,14,8
160,14,10
161,14,12
162,14,14
163,14,16
164,14,18
165,14,20
166,14,21
167,15,0
168,15,2
169,15,4
170,15,6
171,15,8
172,15,10
173,15,12
174,15,14
175,16,0
176,16,2
177,16,4
178,16,6
179,16,8
180,16,10
181,16,12
182,17,0
183,17,2
184,17,4
185,17,6
186,17,8
187,17,10
188,17,12
189,17,14
190,17,16
191,17,18
192,17,20
193,17,21
194,18,0
195,18,2
196,19,0
197,19,2
198,19,4
199,19,6
200,19,8
201,19,10
202,19,12
203,19,14
204,19,16
205,19,18
206,19,20
207,19,21
208,20,0
209,20,2
210,20,4
211,20,6
212,20,8
213,20,10
214,20,12
215,20,14
216,20,16
217,20,18
218,20,20
219,20,21
220,21,0
221,21,2
222,21,4
223,21,6
224,21,8
225,21,10
226,21,12
227,21,14
228,21,16
229,21,18
230,21,20
231,21,21
232,22,0
233,22,2
234,22,4
235,22,6
236,22,8
237,22,10
238,22,12
239,22,14
240,22,16
241,22,18
242,22,20
243,22,21
244,23,0
245,23,2
246,23,4
247,23,6
248,23,8
249,23,10
250,23,12
251,23,14
252,23,16
253,23,18
254,23,20
255,23,21
256,24,0
257,24,2
258,24,4
259,24,6
260,24,8
261,24,10
262,24,12
263,24,14
264,24,16
265,24,18
266,24,20
267,24,21
268,25,0
269,25,2
270,25,4
271,25,6
272,25,8
273,25,10
274,25,12
275,25,14
276,25,16
277,25,18
278,25,20
279,25,21
280,26,0
281,26,2
282,26,4
283,26,6
284,26,8
285,26,10
286,26,12
287,26,14
288,26,16
289,26,18
290,26,20
291,26,21
292,27,0
293,27,2
294,27,4
295,27,6
296,27,8
297,27,10
298,27,12
299,27,14
300,27,16
301,27,18
302,27,20
303,27,21
304,28,0
305,28,2
306,28,4
307,28,6
308,28,8
309,28,10
310,28,12
311,28,14
312,28,16
313,28,18
314,28,20
315,28,21
316,29,0
317,29,2
318,29,4
319,29,6
320,29,8
321,29,10
322,29,12
323,29,14
324,29,16
325,29,18
326,29,20
327,29,21
328,30,0
329,30,2
330,30,4
331,30,6
332,30,8
333,30,10
334,30,12
335,30,14
336,30,16
337,30,18
338,30,20
339,30,21
340,31,0
341,31,2
342,31,4
343,31,6
344,31,8
345,31,10
346,31,12
347,31,14
348,31,16
349,31,18
350,31,20
351,31,21
352,32,0
353,32,2
354,32,4
355,32,6
356,32,8
357,32,10
358,32,12
359,32,14
360,32,16
361,32,18
362,32,20
363,32,21
364,33,0
365,33,2
366,33,4
367,33,6
368,33,8
369,33,10
370,33,12
371,33,14
372,33,16
373,33,18
374,33,20
375,33,21
376,34,0
377,34,2
378,34,4
379,34,6
380,34,8
381,34,10
382,34,12
383,34,14
384,34,16
385,34,18
386,34,20
387,34,21
388,35,0
389,35,2
390,35,4
391,35,6
392,35,8
393,35,10
394,35,12
395,35,14
396,35,16
397,35,18
398,35,20
399,35,21
400,36,0
401,36,2
402,36,4
403,36,6
404,36,8
405,36,10
406,36,12
407,36,14
408,36,16
409,36,18
410,36,20
411,36,21
412,37,0
413,37,2
414,37,4
415,37,6
416,37,8
417,37,10
418,37,12
419,37,14
420,37,16
421,37,18
422,37,20
423,37,21
424,38,0
425,38,2
426,38,4
427,38,6
428,38,8
429,38,10
430,38,12
431,38,14
432,38,16
433,38,18
434,38,20
435,38,21
436,39,0
437,39,2
438,39,4
439,39,6
440,39,8
441,39,10
442,39,12
443,39,14
444,39,16
445,39,18
446,39,20
447,39,21
448,40,0
449,40,2
450,40,4
451,40,6
452,40,8
453,40,10
454,40,12
455,40,14
456,40,16
457,40,18
458,40,20
459,40,21
460,41,0
461,41,2
462,41,4
463,41,6
464,41,8
465,41,10
466,41,12
467,41,14
468,41,16
469,41,18
470,41,20
471,41,21
472,42,0
473,42,2
474,42,4
475,42,6
476,42,8
477,42,10
478,42,12
479,42,14
480,42,16
481,42,18
482,42,20
483,42,21
484,43,0
485,43,2
486,43,4
487,43,6
488,43,8
489,43,10
490,43,12
491,43,14
492,43,16
493,43,18
494,43,20
495,43,21
496,44,0
497,44,2
498,44,4
499,44,6
500,44,8
501,44,10
502,44,12
503,44,14
504,44,16
505,44,18
506,45,0
507,45,2
508,45,4
509,45,6
510,45,8
511,45,10
512,45,12
513,45,14
514,45,16
515,45,18
516,45,20
517,45,21
518,46,0
519,46,2
520,46,4
521,46,6
522,46,8
523,46,10
524,46,12
525,46,14
526,46,16
527,46,18
528,46,20
529,46,21
530,47,0
531,47,2
532,47,4
533,47,6
534,47,8
535,47,10
536,47,12
537,47,14
538,47,16
539,47,18
540,47,20
541,47,21
542,48,0
543,48,2
544,48,4
545,48,6
546,48,8
547,48,10
548,48,12
549,48,14
550,48,16
551,48,18
552,48,20
553,48,21
554,49,0
555,49,2
556,49,4
557,49,6
558,49,8
559,49,10
560,49,12
561,49,14
562,49,16
563,49,18
564,49,20
565,49,21
566,50,0
567,50,2
568,50,4
569,50,6
570,50,8
571,50,10
572,50,12
573,50,14
574,50,16
575,50,18
576,50,20
577,50,21
