,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
0,64.0,6.940e-01,0.610,2.174e+05,0.590,2.320e-06,0.150,-7.325,0.036,137.838,0.352,
1,31.0,7.390e-01,0.565,2.605e+05,0.393,8.450e-04,0.143,-9.309,0.024,75.537,0.229,Anime
2,57.0,8.790e-03,0.433,2.629e+05,0.815,0.000e+00,0.138,-3.658,,125.358,0.461,Rock
3,63.0,1.050e-02,0.359,5.639e+05,0.762,2.810e-01,0.368,-8.323,0.032,89.259,0.167,Rock
4,,3.010e-01,0.511,,0.699,,0.088,,0.037,120.406,0.496,Anime
5,65.0,,0.491,-1.000e+00,,2.780e-06,0.626,-6.564,0.028,112.704,0.407,Rock
6,44.0,7.100e-01,0.627,,0.496,,0.343,-11.866,0.040,95.000,0.080,Electronic
7,48.0,,0.540,3.500e+05,,4.680e-02,0.599,,0.035,86.054,0.243,Jazz
8,67.0,5.310e-04,0.502,,0.685,,0.092,-5.847,0.028,81.978,0.574,Rock
9,52.0,,0.835,1.707e+05,,0.000e+00,0.304,-4.052,0.247,122.019,0.833,Rap
10,58.0,8.440e-02,0.593,-1.000e+00,0.837,0.000e+00,0.148,-4.834,0.030,99.947,0.569,Rock
11,38.0,1.100e-01,0.418,3.182e+05,0.652,5.350e-01,0.354,-11.112,0.075,80.451,0.607,Jazz
12,57.0,7.860e-01,0.127,2.887e+05,0.335,4.270e-01,0.111,-8.298,0.033,77.078,0.069,Alternative
13,53.0,1.570e-02,0.663,2.126e+05,0.777,8.290e-03,0.075,-5.496,0.037,143.003,0.940,Rock
14,28.0,8.200e-02,,2.107e+05,0.948,1.170e-02,0.968,-4.517,0.101,161.473,,Blues
15,50.0,5.060e-02,0.663,1.257e+05,0.738,0.000e+00,0.089,-6.958,0.400,184.078,0.544,Rap
16,56.0,,0.705,2.738e+05,,0.000e+00,0.176,-6.397,0.396,71.666,0.350,Rap
17,74.0,3.110e-01,0.644,,0.501,,,-8.959,0.492,,0.173,Rap
18,54.0,5.350e-03,0.413,2.314e+05,0.885,1.970e-06,0.166,-7.695,0.078,113.807,0.211,Alternative
19,52.0,2.490e-02,0.494,,0.836,,,-4.327,,,0.627,Rock
20,53.0,5.410e-02,0.651,2.696e+05,0.875,9.840e-03,0.025,-4.349,0.041,92.022,0.830,Rock
21,76.0,3.860e-01,0.490,1.457e+05,0.715,0.000e+00,0.311,-5.549,0.048,130.726,0.866,Rock
22,53.0,1.330e-02,0.229,2.157e+05,0.871,2.180e-06,0.266,-4.558,0.103,86.965,0.395,Rock
23,53.0,2.220e-01,0.474,3.529e+05,0.382,1.950e-02,0.149,-13.291,0.025,80.800,0.690,Rock
24,29.0,9.160e-01,0.230,6.646e+05,0.041,2.220e-01,0.086,-23.741,0.046,120.406,0.105,Classical
25,39.0,3.510e-03,0.534,2.870e+05,0.653,2.050e-02,0.254,-7.358,0.031,155.693,0.434,Blues
26,37.0,1.060e-02,0.204,1.374e+05,0.104,8.280e-01,0.136,-21.608,0.046,68.323,0.032,Classical
27,40.0,7.020e-01,0.674,2.467e+05,0.528,1.630e-05,0.080,-6.939,0.045,88.105,0.955,Jazz
28,62.0,2.340e-02,0.628,2.107e+05,0.797,3.570e-06,0.112,-6.103,0.037,120.406,0.497,Rock
29,77.0,3.230e-01,0.606,1.825e+05,0.652,0.000e+00,0.201,-6.982,0.028,97.155,0.476,Rock
30,35.0,6.120e-04,0.292,3.016e+05,0.970,4.030e-01,0.308,-3.615,0.132,109.800,0.351,Jazz
31,68.0,1.540e-01,0.710,1.807e+05,0.470,0.000e+00,0.643,-9.330,0.142,80.027,0.581,Hip-Hop
32,64.0,7.950e-01,,1.887e+05,0.354,1.070e-04,0.088,-11.112,0.031,73.007,,Blues
33,62.0,,0.560,2.210e+05,,1.340e-01,0.299,-4.481,0.032,132.009,0.807,Rock
34,41.0,1.180e-02,0.854,,0.493,,,-9.996,0.104,,0.582,Jazz
35,53.0,7.460e-01,0.561,2.255e+05,0.891,0.000e+00,0.109,-4.771,0.305,91.316,0.690,Hip-Hop
36,55.0,5.600e-03,0.577,2.007e+05,0.934,0.000e+00,0.048,-3.999,0.128,137.003,0.540,Rock
37,69.0,1.300e-02,0.649,2.085e+05,0.888,2.230e-06,0.089,-4.807,0.029,100.975,0.553,Alternative
38,62.0,3.260e-01,0.515,2.867e+05,0.505,0.000e+00,0.102,-5.606,0.029,150.063,0.538,Hip-Hop
39,40.0,,0.797,2.841e+05,,1.900e-04,0.065,-12.692,0.038,114.746,0.881,Jazz
40,56.0,1.340e-03,0.684,2.159e+05,0.992,0.000e+00,0.878,-1.893,0.075,133.963,0.757,Rock
41,33.0,1.370e-01,0.472,2.202e+05,0.815,5.060e-05,0.261,-9.725,0.048,131.547,0.593,Blues
42,64.0,3.030e-01,0.399,4.452e+05,0.467,1.860e-02,0.124,-11.763,0.028,120.406,0.525,Rock
43,51.0,6.910e-02,0.557,-1.000e+00,0.610,1.170e-02,0.341,-9.899,0.111,155.966,0.128,Rock
44,68.0,,0.195,2.691e+05,,4.970e-01,0.069,-4.991,0.030,84.710,0.173,Rock
45,35.0,,0.669,1.901e+05,,4.860e-05,0.142,-6.898,0.153,127.994,0.439,Electronic
46,51.0,3.370e-01,0.563,2.116e+05,0.497,2.730e-03,0.162,-7.595,0.035,169.977,0.561,Rock
47,68.0,6.570e-05,0.532,-1.000e+00,0.889,7.060e-03,0.094,-5.474,0.054,93.994,0.508,Rock
48,51.0,2.870e-03,,,0.687,,0.274,-7.792,0.023,100.060,,Rock
49,48.0,1.740e-01,0.843,3.052e+05,0.668,6.660e-05,0.096,-7.236,0.037,125.028,0.378,Country
